#itemId,BrandName
400,23
400,26
400,26
400,26
401,3
401,4
402,44
402,46
403,3
403,5
403,6
404,3
404,5
404,11
404,44
405,1
405,2
405,4
406,3
406,4
406,5
406,6
407,14
407,12
407,11
407,14
408,15
408,14
408,10
408,12
408,22
408,33
409,44
409,45
409,47
410,48
411,21
412,23
412,56
412,4
412,45
413,47
414,48
415,22
416,20
416,21
416,24
416,23
417,25
417,31
418,33
419,36
420,35
420,39
421,37
421,22
422,10
422,20
422,30
423,40
423,88
423,89
423,78
424,45
424,21
425,20
425,21
426,33
426,56
426,54
426,54
427,28
427,14
428,15
428,65
429,58
429,58
430,74
430,87
430,12
431,14
431,45
432,14
432,14
432,1
433,4
434,6
435,9
436,5
437,4
437,1
438,2
438,3
438,6
439,5
439,8
440,9
440,7
441,4
442,2
442,3
443,61
444,54
444,46
445,13
445,82
446,22
446,13
447,40
447,62
448,24
448,2
449,22
449,32
450,72
450,40
450,10
